"Item_name","Item_id"
"coffee",43
"tea",23
"juice",38
"soda",9
"sandwich loaves",39
"dinner rolls",37
"tortillas",34
"bagels",13
"canned vegetables",28
"spaghetti sauce",26
"ketchup",41
"cheeses",21
"eggs",14
"milk",16
"yogurt",48
"butter",8
"cereals",11
"flour",30
"sugar",1
"pasta",31
"waffles",5
"frozen vegetables",22
"ice cream",36
"poultry",6
"beef",17
"pork",47
"bananas",46
"berries",40
"cherries",25
"grapefruit",20
"apples",32
"broccoli",44
"carrots",10
"cauliflower",45
"cucumbers",42
"lettuce",2
"laundry detergent",18
"dishwashing ",27
"paper towels",24
"toilet paper",33
"aluminum foil",15
"sandwich bags",7
"shampoo",12
"soap",35
"hand soap",29
"shaving cream",19
"baby items",4
"pet items",3
