"user_id","id"
222087,"27,26"
1343649,"6,47,17"
404134,"18,12,23,22,27,43,38,20,35,1"
1110200,"9,23,2,20,26,47,37"
224107,"31,18,5,13,1,21,48,16,26,2,44,32,20,37,42,35,40,47,12,7"
409803,"43,29,8,37,23,45"
1296632,"18,15,31,11,20,32,25,6,47"
748280,"14,43,6,20,7,42,41,28,10,22,46"
31625,"1,43,31,37,25,32,28,35"
987613,"27,1,3,2,11,45,10,44,15"
560265,"10,31,25,19,2,7,15,9,23"
60201,"26,28,13,39,27,22,48,18,16,17,32"
1413771,"10,30,17,45,35,2,11,3,43"
925776,"43,38,35,28,16"
455303,"38,15,48,43,44,10,32"
713697,"2,42,18"
226213,"48,32,16,21,13,37,34,39"
392460,"37,38,9"
445179,"44,37,33,39,9,43,13,8,21,48"
176016,"39,21,16,2,13,37,48,10,6,28,5"
1158400,"23,43,9,40,28"
1275545,"9,43,38,47,17,25,40"
772450,"41,19,23,7,18,40,25,1"
1215832,"41"
386957,"13,1,29,7,10,35,17,43,46,37,18,26"
377243,"2"
76657,"25,30,40,37,23,47,32,45"
644868,"46,25,47,39,26,12,38,9,21,13,6,1"
1141513,"15,23,17"
867267,"44,10,26,39"
1207477,"31,6,47,34,26,28,2"
1350007,"5,1,40,37,34"
1083318,"2,39,46,44,22"
1004937,"48,21,23,6,32,1,34"
1166671,"17,20,27"
436724,"39,37,34,32,20,16,21,1,45,27"
792328,"23,43,29,38,20"
157436,"17,42,44,45,2,10,47,29"
661518,"11,5,35,18,27,24,22,20,2,3,25"
954248,"45,30,47,26,41,37"
564282,"8,36,23,38,13,9,40,16,25,43,47,6"
393183,"26,46,10,2,42,47,21,32"
1364836,"16,40,32,20,25"
655229,"25,23,6,22,36,20,2,37,46"
1481476,"25,10"
1042714,"39,35,42"
367582,"13,34,37,39,10,9,23,43,38,18,25,44,16,8"
728378,"22,38,23,13,6,47,3,24,39,9,28,5,44,34,4"
315367,"46,10,2,45,1,14,48,17,6"
1175055,"15,39,34,25,20,32,9,1,42"
1452215,"33,38,23,32,20,46,6,47,17,2,1"
1442225,"1,16,8,28,40,32,2,27,41,18,13,34,37,23"
43340,"36,22"
1253017,"31,3,1,18,27,48,34,37,43,22,20,41,10,12"
268652,"37,38,43,3,2,1,8,16,23,9,25"
1377918,"43"
169792,"19,47,16,21,43,10,45"
505238,"23,43,44,46,40,32,45,2,42,37"
608248,"13,25,21,23,1,34,32,20"
644814,"36,23,9,28,42"
1239004,"20,46,23,32,40,25"
278680,"14,12,3,13,4,43,26,32"
800472,"32,21,37,22,10,38,2,45,20,42,13,34"
821346,"37,13,6,48,16,8,34,39,17,38,26,2"
941381,"32,40,39,34"
915746,"39,27,8,42,45,34,6,28"
61963,"12,13,32,38,44,16"
348760,"2,10,42,44,7,38,23,43"
1019030,"6,38,23,46,32,20"
704369,"25,47,32,38,23,17"
1409591,"18,27,46,32,1,24,2,34,37,22,13,26,28,43,23,36"
837870,"45"
498694,"38,9,20,2,41,35,28"
557310,"48,31,17"
888512,"23,32,46,43"
218523,"29,17,2,16,28,45,27,10,40,34,39"
707345,"36,44,45,34,33,21,41,40,20,10"
14491,"19,31,38,23,2,8,3,39,6,11,5,46,22"
88957,"17"
31625,"10,44,3,1,2,8,5,27,37"
34625,"2,16,8"
709676,"37,17,47,34,36,22,5,30,15,41,44"
1113584,"46,32,1,44,2"
207647,"48,37,10,36,29,43,22,17,45,44,42,25,46,35,32"
1491795,"23,25,1,22,10,42,12,21"
196919,"30,13,34,47,33,25,46,16,43,20,23"
833379,"3,28,16,39,34,21,18,26,43,38,15"
1469654,"2,37,20,32,27,21,3,4,40,10,18,46"
691526,"2,3,18"
1030308,"10,20,8,23,18,38,9,28,1,2,24,40,25,32,43,22"
395819,"35,12,13"
830842,"17,39,3,43,13,47,45,16,32,23,18,1"
1078430,"13,18,1,4,10,36,46,3,21,35,44"
192584,"2"
1142170,"1,45"
128598,"14,23,39,2,9,4,29,19,34,37,13,38,12,32,46,24,42,40,30"
214303,"23,25,20,47,44"
930239,"4,43,5,25,20,42,17,37,2,8,48,3,38"
1430373,"27,46,23,34,45,33,40"
421531,"47,43,46,20,11,38,35"
497726,"23,26,34,12,5,18,6,17"
1454091,"38,16,20,23,2,47,1,6,19"
1234379,"20,11,39,13,23,43,24,34,9,3,10"
776587,"31,30,34,13,42,45,37,36,20,32,38,9,18,1,29,10,44,2,41"
1341218,"32,47,17,2"
953642,"10,42,32,27,17,5,30,48,14,22"
546582,"34,39,35,22,17,47,20,26,6,48,37,36,13,45,24"
1159587,"33,44,37,4,40,9"
847755,"13,17,24,48,34,37,14,28,26"
257418,"35,42,25"
1317452,"38,23,13,39,1,9"
587279,"1,44,17,13,27,7,45,32,5,31,46,36,24,15"
1030427,"17"
1426538,"21,46,23,9,7,2,44,45,42"
155844,"40,45,2,41,47,35,48,44,8,26"
884366,"3,34,1,38,9,43,46,44,18,27,39,47,6,17"
1266922,"11,18,48"
1230569,"23,2,42,45,1,18"
896651,"13,34,21,9,43,23,48,14,3,2,47,1"
724405,"21,28,1,42,4,41,25,47,6"
1198722,"2,36,13,43,5,30,18"
661464,"30,5,43,23,9,39,34"
896633,"38,23,43,1,3,47,40,17"
1456583,"4,27,17,47,6,24,10,43,18,26,2,36,33,41,37,39"
1314783,"36,29,38,20,40,43,39"
630489,"6,2,43,12,29,36,44,45,10,24,1,4,17,47,39,34,46,20"
1260227,"34,13,43,25,40,39,8,2,10,38,23,3,12,9"
1238470,"30,14,8,22,46,29,9,47,39,13,40,21,6,11"
719918,"21,42,46,3,39,34,41,12"
659714,"6,30,38,9,32,10"
1378969,"37,25,40,47,19,8,32,4,1,41,2,36,45,23,42,26,39"
198842,"10,47,15,1,14,39,13"
527240,"32,25,22,47,20,7,13,8,44,35"
100185,"23,42,44,1,36,10,45,37,34,26,25,20,15,38"
87292,"18,5,31,2,46,32"
571764,"3,1,2,23,34,13,39,37,43,22,25,40,32,46"
1346123,"8,38,43,12,45,3"
182289,"23,9,28,41,45,10,38,8"
150106,"6,32,25,26,28"
1472595,"39,16,14"
1426194,"44,3,34,2,45"
380551,"23,29,19,12,35,28,5,17,16,30,38"
1295688,"23,25,42,45,44,20,15,21,43"
742193,"6,13,15,20,4,46,34,10"
1371372,"1,9,48,26,37,34,17,29,20,14,42,40,11,7"
295771,"33,25,1,22,46,32,18,40,20,7"
780920,"47,25,41,40,21,6,48"
219022,"42,10,44,6,23,46,13,39,37,2"
1388032,"47,4,3,9,40,25,36,2,34,7,26,24"
232645,"27,9,42,39,40"
1123659,"16,36"
777877,"13,34,9,26,46"
321764,"16,47,2,44,38,5"
109638,"40,20,2,45,15,7,46,38,21"
789622,"44,39,16,17,19,28,41,1,2,40"
1368851,"3,4,45,25,34"
1083427,"42,19,35,1,36,25,27,43,23"
978996,"9,40,37,41,28,47,42,2"
247970,"47,25,29,19,37,3"
656623,"24,47,29,43,38,12,31,2"
1120184,"21,48,5,23,9,22,18,1,6,40,35,46"
1184060,"21,14,25,32"
424513,"26,17,46,32,25,18,6,44"
79970,"21,2,33,46,39,34,37,32,8"
604262,"2,1,47,37,3,11,14,43,34,18"
962787,"41,17,2,1,5,8,27,9,23,38"
175191,"3,1,30,8,16,14,29,10,2"
883487,"24,17,46,25,32,29,36,14,6,43,39,13"
252798,"32,29,7,43,23,27,1,42,31,22,24,15,35"
84668,"5,45,2,26,41,46,31,20"
38810,"24,25,32,1,4,3,23"
1294636,"2,25,46,40,17,8,43,28"
951388,"37,16,20,40,46"
1109791,"44,39,24,42"
599172,"2,30,39,10,37,20,34,18,36,13,1,32"
1395118,"42,22,39,13,21,48,35,4,5,30,18,37"
824894,"10,48,8,36,30"
250998,"26,17,18"
1289323,"17,15,45,2,10,38,43,6"
283463,"34,35,32,25,46,10,17,29"
1353029,"1,4,17,13,10,42"
354722,"14,34,13,22,37"
345366,"42,26,6"
317680,"34,13,37,45"
1447270,"42,10,2,13,39,35,46,20,7,31,38"
1498027,"40,44,27,2,9,35,18,3,22,36"
260949,"8,16,21,34,17,1,27,46"
1147304,"14,33,34,28,25,46,17,22,36"
86157,"32,25,20,46,35,17,42,37,44,45,1,5,4"
131302,"39,34,32,44,42,25"
819821,"25,2,35,17,48,39,13,47"
685763,"41,3,14,46,32,25,2,45"
17715,"4,1,2"
25740,"20,46,33,7,47,1,6,4,32,25,2"
534473,"9,20,45,10,44,1,2,39,13,24,41,25"
61062,"18,6,48,21,14,11"
511577,"9,43,25"
1135273,"34,15,40,25,43,26,39,13,10,2,45,16,42,7,48,27,22"
958484,"6,12,29,14"
153676,"39,1,34,36,16,8,37"
1214387,"10,45,18,21"
964954,"24,12,39,4,3,10,42"
690947,"21,4,1,19,23,33,35,42,6"
6188,"3,33,7,2,48"
1203480,"10,44,42,32,46,20,25,2,13"
158615,"21,32,25,46"
965493,"26,28,37,39,9,32,3,1,47,38,23"
1177367,"3,48,10,29"
67370,"15,47"
1082411,"28,13,34,12,46,32"
397373,"42,37,48,43,23,9,11,18,27,2"
168328,"34,25,46,41,17,12,20,2,18"
274640,"27,13,2,42,28"
131293,"15,38,35,42"
690441,"7,16,23,46,20"
227236,"22,8,1,42,2,10,40,46,25"
608050,"26,10,23,34,13,32,20,40,2,37"
1301125,"45,42,2,44"
175800,"19,18,27,12,30,46,20,17,6,32,45,2,1,23"
292109,"40,28,4,6,21,32,45,39,13"
1139660,"41,26,6,47,44,45,14"
1267091,"45,6,17,1,39,13,2,46,41,26,27,40"
439533,"14,48,32,38,9,24,23,37,39,26,43"
26974,"46,25,23,2,3,19"
1109424,"48,21"
75050,"13,41,6,40,20,46"
910992,"28,5,37,45,42,2,7,31,20,10,44"
157089,"28,1,9,10,17,6,16,38,21,22,2,24"
583225,"15,32,20,46,44"
351044,"47,25,24,15,3,33,19,34"
1145444,"2,3,20,33,21,8,1,37,34,42,28"
1052159,"5,43,38"
837815,"17,33,34,46,47,43,11,31,15,45,44,27,32,25"
461401,"43,22,3,20,32"
718653,"24,33,44,8,16,42,10,47"
397623,"20,18,40,32,6,28,41,39,21,48,44,42,3,19,43,9,38"
296584,"37"
858354,"27,47,6,25,20,32,33,9,26,1,40,46,48"
857474,"1,7,24,33,38,42,44,20,36,22,28,48,8,6,47,30,11"
1269110,"41,39,34,45,17,46,40,6,42,37,22"
1248036,"4,3,28,2,45,42,31,43,5,39,10"
1169085,"28,1,45,43,3,34,16,48"
927987,"34,37,39,14,41,25,46,40"
721475,"40,47"
780777,"36,22,8,39"
428205,"17,39,40,2,23"
235731,"17,21,31,30,44,42,2,20,46,19,37,15,22,33,8"
1272659,"42,10,11,31"
268720,"42,27,4,37,35,47,17,1,48,14,21,44,20,25,46,29,38,9"
91043,"34,39,47,23,1,2"
199109,"8,48,18,32,46,6,20,25"
1130372,"42,15,7,33"
458077,"36,22,33,3,27,48,11,1"
583483,"17,47,36,9,38,48"
113043,"17,22,43,2,39,3,23,9"
1171418,"43,34,37,33,15,20,25"
1259156,"21,37,8,17,22,9,43,23,7,44,27"
582536,"46,25,15,3,42"
