employee_id,signing_bonus,salary,degree_level,sex,yrs_experience,boss_id,dept,level,n_subordinates
138719,0,273.0,Master,M,2,43602,engineering,IC,0
3192,0,301.0,Bachelor,F,1,87847,sales,IC,0
114657,0,261.0,Master,F,2,180854,sales,IC,0
29039,0,86.0,High_School,F,4,88370,HR,IC,0
118607,0,126.0,Bachelor,F,3,23565,sales,IC,0
91334,0,221.0,PhD,F,2,62990,sales,IC,0
101901,1,194.0,PhD,M,12,7558,engineering,MM,6
171111,1,119.0,Master,F,1,30468,engineering,IC,0
23443,1,217.0,PhD,M,8,130585,sales,IC,0
24195,0,230.0,Master,M,4,1050,engineering,IC,0
184295,0,218.0,PhD,M,5,18627,marketing,IC,0
153551,0,232.0,PhD,M,10,47755,sales,MM,9
104709,0,320.0,PhD,M,6,94683,marketing,IC,0
175864,0,394.0,Master,M,5,110091,engineering,IC,0
113738,1,204.0,Bachelor,M,4,112643,sales,IC,0
23737,0,76.0,Bachelor,F,13,198893,HR,MM,17
27476,0,358.0,Bachelor,F,3,56451,sales,IC,0
25181,0,171.0,PhD,M,2,154381,sales,IC,0
98520,0,300.0,Master,M,7,70434,marketing,MM,20
78629,0,187.0,PhD,M,6,46997,sales,IC,0
161480,0,287.0,PhD,M,3,80728,engineering,IC,0
32443,0,73.0,High_School,M,3,183283,HR,IC,0
37097,0,196.0,Bachelor,M,3,192145,sales,IC,0
121956,0,281.0,High_School,F,3,85791,sales,IC,0
186463,1,82.0,Master,M,1,154891,engineering,IC,0
186082,0,343.0,PhD,M,1,175365,marketing,IC,0
72481,0,160.0,Master,M,7,182116,sales,IC,0
195194,1,88.0,High_School,F,1,39460,HR,IC,0
161633,0,90.0,PhD,F,5,43937,HR,IC,0
121680,0,64.0,High_School,M,3,54315,sales,IC,0
189061,0,387.0,High_School,M,7,116750,engineering,IC,0
28915,1,122.0,PhD,M,4,18939,sales,IC,0
96249,0,345.0,PhD,M,4,8856,marketing,IC,0
76886,1,234.0,Bachelor,M,5,153291,sales,IC,0
66641,0,204.0,PhD,M,1,198814,marketing,IC,0
129610,0,113.0,Bachelor,M,3,156927,marketing,IC,0
88697,0,139.0,Bachelor,M,1,180924,marketing,IC,0
33686,0,192.0,Bachelor,F,2,181219,marketing,IC,0
198880,1,219.0,Master,M,5,175593,sales,IC,0
45482,1,110.0,PhD,M,4,85717,sales,IC,0
77317,1,135.0,Bachelor,M,1,116774,engineering,IC,0
15460,0,185.0,Master,M,1,97878,sales,IC,0
134371,0,239.0,Master,F,8,103448,sales,IC,0
66892,0,137.0,High_School,F,2,195165,engineering,IC,0
166336,0,119.0,Bachelor,M,1,11275,marketing,IC,0
181529,1,232.0,High_School,F,5,177805,marketing,IC,0
64364,0,313.0,Master,M,5,12877,engineering,IC,0
114955,0,309.0,Master,F,1,64750,engineering,IC,0
18742,0,109.0,Master,F,1,139278,HR,IC,0
132916,1,252.0,High_School,M,3,69379,sales,IC,0
76511,0,342.0,Bachelor,M,3,144219,engineering,IC,0
184214,0,146.0,Bachelor,M,3,39417,engineering,IC,0
10786,0,86.0,Bachelor,M,10,165426,HR,MM,12
114682,1,215.0,Master,M,4,160169,sales,IC,0
86656,0,302.0,Bachelor,M,7,53109,sales,IC,0
90984,1,363.0,Master,M,4,29547,engineering,IC,0
133819,0,322.0,Bachelor,M,2,63077,sales,IC,0
110797,0,361.0,High_School,M,3,147249,engineering,IC,0
198020,1,111.0,High_School,F,1,177495,HR,IC,0
39347,0,265.0,High_School,M,4,66692,sales,IC,0
55947,1,234.0,Bachelor,F,1,176415,engineering,IC,0
81158,1,183.0,High_School,M,5,26757,marketing,IC,0
115423,0,97.0,Bachelor,M,1,141317,sales,IC,0
137829,0,201.0,High_School,M,7,191649,sales,IC,0
91575,0,64.0,Bachelor,M,3,199950,HR,IC,0
