"employee_id","boss_id","dept"
46456,175361,"sales"
104708,29733,"HR"
120853,41991,"sales"
142630,171266,"HR"
72711,198240,"sales"
61704,53109,"sales"
153072,67178,"HR"
58903,150290,"HR"
166034,116750,"engineering"
54819,182038,"sales"
107842,62043,"engineering"
18437,132187,"engineering"
51293,172989,"sales"
92958,91002,"marketing"
159095,52319,"sales"
159906,65174,"sales"
113474,198648,"marketing"
86645,55431,"sales"
165454,8812,"HR"
169231,164851,"sales"
27940,168951,"sales"
179769,73893,"sales"
32146,21470,"marketing"
163892,132399,"sales"
198889,162035,"sales"
150158,87847,"sales"
88019,102632,"marketing"
34992,88370,"HR"
78222,67931,"engineering"
8889,21086,"HR"
166367,34134,"sales"
187979,43704,"HR"
81166,162035,"sales"
28583,63077,"sales"
192826,60489,"marketing"
175548,116660,"HR"
137255,182556,"sales"
55115,173939,"marketing"
170756,177166,"engineering"
7993,131620,"sales"
64773,172250,"marketing"
83675,148795,"engineering"
183316,174800,"marketing"
178759,113245,"sales"
34028,1651,"engineering"
180925,141808,"sales"
179334,124186,"marketing"
60038,47472,"engineering"
97928,128966,"sales"
18285,29508,"HR"
95057,181996,"engineering"
185298,27393,"sales"
79693,51535,"engineering"
94486,122145,"engineering"
166254,8663,"sales"
2843,8812,"HR"
127766,41991,"sales"
43257,129778,"HR"
158908,127769,"engineering"
49928,199184,"sales"
156257,22887,"HR"
64270,62298,"HR"
120003,48120,"engineering"
41278,57316,"sales"
142920,168905,"engineering"
93750,61988,"engineering"
151234,145126,"sales"
99871,32405,"HR"
80294,79807,"engineering"
36817,134982,"sales"
106808,54136,"marketing"
138402,137369,"sales"
104414,190566,"marketing"
182939,101901,"engineering"
166146,4259,"engineering"
158639,39417,"engineering"
21150,29960,"marketing"
124885,143050,"marketing"
49112,14241,"marketing"
177003,55972,"HR"
39366,104539,"HR"
46994,169223,"engineering"
157492,34280,"sales"
124209,19806,"sales"
32660,187183,"marketing"
83263,10922,"sales"
78874,47127,"sales"
95598,79193,"sales"
67644,149485,"sales"
71046,51738,"engineering"
35710,69200,"sales"
169623,158609,"sales"
171340,12214,"sales"
27823,146404,"marketing"
171217,8711,"marketing"
26100,127266,"marketing"
37880,109254,"sales"
140462,5875,"marketing"
140829,39231,"HR"
143019,116180,"engineering"
157572,115765,"HR"
79602,113618,"marketing"
121612,132026,"marketing"
191109,12649,"engineering"
139720,74264,"marketing"
163305,189148,"HR"
91979,116660,"HR"
38822,60489,"marketing"
33751,126257,"engineering"
32581,127266,"marketing"
169959,76641,"engineering"
11845,134982,"sales"
141381,51121,"HR"
26424,31063,"HR"
145230,183824,"engineering"
107750,180924,"marketing"
127732,124186,"marketing"
50753,77766,"marketing"
124260,139180,"marketing"
46311,65883,"marketing"
115765,192056,"HR"
21602,41808,"HR"
89004,81490,"sales"
35031,158888,"sales"
128474,124014,"sales"
115552,191083,"marketing"
107216,101484,"engineering"
85353,84230,"marketing"
173223,164547,"sales"
169615,112750,"engineering"
182556,107049,"sales"
148292,94447,"HR"
20898,168905,"engineering"
141665,4259,"engineering"
62105,98419,"marketing"
60434,189627,"sales"
85061,132360,"sales"
130794,184236,"HR"
177857,4384,"HR"
134455,143473,"HR"
162967,67522,"sales"
115740,6536,"marketing"
138719,43602,"engineering"
19703,132026,"marketing"
27127,92585,"marketing"
106374,74264,"marketing"
187512,198403,"sales"
14886,172250,"marketing"
181537,140542,"sales"
79938,742,"HR"
192806,48120,"engineering"
139122,62081,"sales"
29337,15277,"engineering"
174632,59705,"sales"
193281,143050,"marketing"
131612,73489,"sales"
147973,84193,"marketing"
97293,73254,"HR"
174134,159098,"engineering"
121419,3802,"engineering"
148260,89053,"marketing"
97859,48120,"engineering"
87330,91654,"engineering"
97583,198814,"marketing"
39948,182116,"sales"
53826,185138,"HR"
31813,169849,"HR"
25891,64750,"engineering"
43627,182028,"engineering"
42880,1651,"engineering"
119009,198531,"sales"
84604,83032,"marketing"
66140,193818,"HR"
135804,95935,"HR"
98874,180006,"HR"
176788,15277,"engineering"
131950,96752,"sales"
146559,129287,"HR"
155144,126368,"sales"
86835,141079,"engineering"
130051,150189,"HR"
11128,160289,"sales"
152155,187053,"engineering"
79807,92567,"engineering"
129538,67151,"engineering"
99828,98967,"marketing"
95006,182028,"engineering"
183056,73893,"sales"
