"employee_id","signing_bonus","salary","degree_level","sex","yrs_experience"
138719,0,273000,"Master","M",2
3192,0,301000,"Bachelor","F",1
114657,0,261000,"Master","F",2
29039,0,86000,"High_School","F",4
118607,0,126000,"Bachelor","F",3
91334,0,221000,"PhD","F",2
101901,1,194000,"PhD","M",12
171111,1,119000,"Master","F",1
23443,1,217000,"PhD","M",8
24195,0,230000,"Master","M",4
184295,0,218000,"PhD","M",5
153551,0,232000,"PhD","M",10
104709,0,320000,"PhD","M",6
175864,0,394000,"Master","M",5
113738,1,204000,"Bachelor","M",4
23737,0,76000,"Bachelor","F",13
27476,0,358000,"Bachelor","F",3
25181,0,171000,"PhD","M",2
98520,0,3e+05,"Master","M",7
78629,0,187000,"PhD","M",6
161480,0,287000,"PhD","M",3
32443,0,73000,"High_School","M",3
37097,0,196000,"Bachelor","M",3
121956,0,281000,"High_School","F",3
186463,1,82000,"Master","M",1
186082,0,343000,"PhD","M",1
72481,0,160000,"Master","M",7
195194,1,88000,"High_School","F",1
161633,0,90000,"PhD","F",5
121680,0,64000,"High_School","M",3
189061,0,387000,"High_School","M",7
28915,1,122000,"PhD","M",4
96249,0,345000,"PhD","M",4
76886,1,234000,"Bachelor","M",5
66641,0,204000,"PhD","M",1
129610,0,113000,"Bachelor","M",3
88697,0,139000,"Bachelor","M",1
33686,0,192000,"Bachelor","F",2
198880,1,219000,"Master","M",5
45482,1,110000,"PhD","M",4
77317,1,135000,"Bachelor","M",1
15460,0,185000,"Master","M",1
134371,0,239000,"Master","F",8
66892,0,137000,"High_School","F",2
166336,0,119000,"Bachelor","M",1
181529,1,232000,"High_School","F",5
64364,0,313000,"Master","M",5
114955,0,309000,"Master","F",1
18742,0,109000,"Master","F",1
132916,1,252000,"High_School","M",3
76511,0,342000,"Bachelor","M",3
184214,0,146000,"Bachelor","M",3
10786,0,86000,"Bachelor","M",10
114682,1,215000,"Master","M",4
86656,0,302000,"Bachelor","M",7
90984,1,363000,"Master","M",4
133819,0,322000,"Bachelor","M",2
110797,0,361000,"High_School","M",3
198020,1,111000,"High_School","F",1
39347,0,265000,"High_School","M",4
55947,1,234000,"Bachelor","F",1
81158,1,183000,"High_School","M",5
115423,0,97000,"Bachelor","M",1
137829,0,201000,"High_School","M",7
91575,0,64000,"Bachelor","M",3
187053,0,97000,"Master","M",5
142391,1,86000,"Bachelor","M",3
56162,0,60000,"High_School","F",1
196011,1,165000,"Bachelor","M",2
179787,1,125000,"Master","M",4
172787,0,141000,"PhD","M",7
57693,1,317000,"PhD","M",3
7227,0,192000,"Bachelor","M",9
33814,0,95000,"PhD","M",16
48247,0,98000,"High_School","F",1
185330,1,320000,"PhD","M",3
45652,0,128000,"Bachelor","F",1
112245,1,274000,"PhD","F",9
55269,0,99000,"Bachelor","M",2
95838,0,64000,"Bachelor","F",7
8711,0,250000,"PhD","M",10
21150,1,184000,"Master","F",3
65584,0,152000,"High_School","M",5
178821,0,174000,"PhD","M",7
198314,0,62000,"Bachelor","M",2
89494,1,228000,"Master","F",4
76056,1,212000,"PhD","M",7
174654,0,94000,"PhD","F",5
6417,0,88000,"Bachelor","M",2
149135,0,91000,"Bachelor","M",8
120912,0,95000,"High_School","M",6
14736,0,95000,"PhD","M",3
53438,1,279000,"PhD","M",5
142155,0,366000,"PhD","M",1
1791,0,95000,"Bachelor","F",10
56244,0,86000,"PhD","F",6
87999,0,362000,"High_School","M",1
9036,1,283000,"Bachelor","M",1
34510,0,232000,"PhD","M",4
175786,0,66000,"PhD","F",7
148355,0,198000,"Master","F",2
120086,0,262000,"High_School","M",3
112523,0,82000,"PhD","F",2
43986,0,66000,"Master","F",5
128528,0,83000,"PhD","F",1
148564,0,316000,"Bachelor","M",3
68881,0,69000,"Master","F",3
98619,1,317000,"PhD","M",3
136229,0,155000,"Bachelor","M",5
194889,0,183000,"Bachelor","M",5
9059,1,72000,"Bachelor","M",2
73211,1,386000,"PhD","M",7
133465,1,62000,"High_School","M",5
99319,0,217000,"High_School","M",2
196484,0,106000,"PhD","M",19
26635,0,123000,"Master","M",9
194871,0,192000,"High_School","M",5
134474,0,95000,"PhD","F",8
23100,1,136000,"PhD","M",11
19961,1,391000,"High_School","F",2
72338,0,247000,"Master","F",3
194169,1,92000,"Master","M",3
47487,1,122000,"PhD","M",2
16959,0,150000,"Bachelor","F",7
70361,0,376000,"Master","M",3
97248,0,70000,"High_School","F",4
85273,1,159000,"Bachelor","M",2
192719,0,225000,"High_School","M",2
45301,0,224000,"PhD","F",1
1285,0,333000,"Bachelor","M",2
140206,0,265000,"Master","F",6
141079,0,283000,"Bachelor","M",14
69274,0,117000,"Bachelor","M",1
154782,0,106000,"High_School","M",3
7469,1,74000,"High_School","F",1
120216,1,249000,"High_School","M",3
111447,0,177000,"PhD","M",1
103466,1,214000,"Master","M",3
88007,0,275000,"Master","F",13
29419,0,168000,"Bachelor","F",1
60609,0,128000,"Bachelor","F",3
112433,0,62000,"PhD","F",1
126976,0,80000,"PhD","F",2
163892,0,121000,"High_School","M",1
178923,1,352000,"Master","M",3
104966,1,292000,"PhD","M",4
93962,1,175000,"Bachelor","M",7
147679,0,194000,"High_School","M",4
81577,0,146000,"Master","F",2
136040,0,167000,"Master","F",4
193600,1,80000,"PhD","F",6
189420,0,317000,"PhD","M",2
17670,1,303000,"High_School","F",4
165978,1,261000,"High_School","M",5
102210,0,163000,"Bachelor","M",1
113028,0,87000,"High_School","F",4
77923,0,70000,"Master","F",7
142275,0,349000,"PhD","F",4
195540,0,205000,"Master","M",4
68486,0,87000,"Master","F",5
41080,0,115000,"Master","F",11
88335,0,149000,"Bachelor","M",1
61136,0,226000,"High_School","F",6
175361,0,234000,"Bachelor","M",14
59052,0,79000,"PhD","F",3
173017,0,116000,"High_School","M",4
112097,0,83000,"Master","F",1
152964,0,133000,"PhD","M",3
93073,1,215000,"High_School","M",6
82835,0,184000,"Master","M",1
190004,1,322000,"PhD","F",1
35114,0,68000,"Master","M",6
153735,1,262000,"Bachelor","M",3
80661,0,177000,"High_School","F",2
125799,1,386000,"Bachelor","M",4
78200,0,79000,"High_School","F",7
172717,0,70000,"High_School","F",11
123040,1,174000,"Master","M",1
178134,1,284000,"Master","F",1
182996,0,307000,"Master","M",4
124589,0,61000,"High_School","F",2
104569,1,251000,"High_School","M",2
172566,0,61000,"High_School","F",4
5743,0,111000,"PhD","M",12
74062,1,397000,"PhD","M",33
23759,0,93000,"Bachelor","F",3
98855,1,342000,"Bachelor","M",3
56376,1,358000,"PhD","M",2
8288,1,243000,"Master","F",1
85717,0,92000,"Bachelor","F",8
61234,0,70000,"Master","M",2
102684,0,86000,"Master","F",2
156075,1,253000,"Master","M",3
160618,0,161000,"PhD","M",6
22316,1,156000,"Master","M",5
126031,0,265000,"Bachelor","M",2
127788,0,227000,"High_School","M",6
153290,0,234000,"PhD","M",1
128120,0,123000,"High_School","M",1
137270,0,87000,"Master","M",4
123270,0,264000,"Bachelor","M",3
66090,1,349000,"Master","M",20
135015,0,83000,"Bachelor","F",8
12028,1,225000,"Bachelor","M",1
121294,0,126000,"Master","F",3
46026,1,103000,"Bachelor","F",3
78743,0,203000,"High_School","M",2
162877,0,126000,"Master","M",6
173465,0,63000,"Bachelor","F",1
55493,0,251000,"Master","M",4
52651,1,143000,"PhD","F",1
173786,1,188000,"Bachelor","F",2
11627,0,141000,"High_School","M",8
80889,0,90000,"Bachelor","F",5
159070,0,66000,"PhD","F",2
72655,0,202000,"Master","M",2
120750,0,164000,"Master","M",1
79637,0,91000,"Bachelor","M",7
32193,1,177000,"PhD","M",4
134874,0,136000,"Bachelor","M",4
139720,0,116000,"PhD","M",4
144872,0,117000,"Master","M",6
108164,1,236000,"PhD","M",4
41811,0,251000,"Bachelor","M",2
94871,1,185000,"PhD","M",4
51549,1,175000,"Bachelor","M",6
161037,0,70000,"Master","F",9
163049,0,260000,"Bachelor","F",13
177283,0,102000,"Bachelor","F",1
21566,1,204000,"PhD","M",3
34520,0,219000,"Master","F",3
66792,0,287000,"Bachelor","F",2
109934,0,141000,"Master","F",2
5448,1,171000,"PhD","M",1
34837,0,311000,"Bachelor","M",3
3157,1,154000,"PhD","F",1
2112,1,332000,"Bachelor","M",2
149037,0,72000,"PhD","M",1
195820,0,194000,"High_School","M",5
51827,0,228000,"PhD","F",1
163751,0,221000,"Bachelor","F",3
168564,0,160000,"PhD","M",9
188215,0,132000,"Bachelor","M",4
3802,1,122000,"PhD","F",15
131620,1,236000,"Master","M",9
180925,1,255000,"Bachelor","M",9
77311,1,267000,"Master","M",3
