employee_id,signing_bonus,salary,yrs_experience,level,n_subordinates,is_male,degree,dept_HR,dept_engineering,dept_marketing,dept_sales
138719,0,273.0,2,0,0,1,2,0.0,1.0,0.0,0.0
3192,0,301.0,1,0,0,0,1,0.0,0.0,0.0,1.0
114657,0,261.0,2,0,0,0,2,0.0,0.0,0.0,1.0
29039,0,86.0,4,0,0,0,0,1.0,0.0,0.0,0.0
118607,0,126.0,3,0,0,0,1,0.0,0.0,0.0,1.0
91334,0,221.0,2,0,0,0,3,0.0,0.0,0.0,1.0
101901,1,194.0,12,1,6,1,3,0.0,1.0,0.0,0.0
171111,1,119.0,1,0,0,0,2,0.0,1.0,0.0,0.0
23443,1,217.0,8,0,0,1,3,0.0,0.0,0.0,1.0
24195,0,230.0,4,0,0,1,2,0.0,1.0,0.0,0.0
184295,0,218.0,5,0,0,1,3,0.0,0.0,1.0,0.0
153551,0,232.0,10,1,9,1,3,0.0,0.0,0.0,1.0
104709,0,320.0,6,0,0,1,3,0.0,0.0,1.0,0.0
175864,0,394.0,5,0,0,1,2,0.0,1.0,0.0,0.0
113738,1,204.0,4,0,0,1,1,0.0,0.0,0.0,1.0
23737,0,76.0,13,1,17,0,1,1.0,0.0,0.0,0.0
27476,0,358.0,3,0,0,0,1,0.0,0.0,0.0,1.0
25181,0,171.0,2,0,0,1,3,0.0,0.0,0.0,1.0
98520,0,300.0,7,1,20,1,2,0.0,0.0,1.0,0.0
78629,0,187.0,6,0,0,1,3,0.0,0.0,0.0,1.0
161480,0,287.0,3,0,0,1,3,0.0,1.0,0.0,0.0
32443,0,73.0,3,0,0,1,0,1.0,0.0,0.0,0.0
37097,0,196.0,3,0,0,1,1,0.0,0.0,0.0,1.0
121956,0,281.0,3,0,0,0,0,0.0,0.0,0.0,1.0
186463,1,82.0,1,0,0,1,2,0.0,1.0,0.0,0.0
186082,0,343.0,1,0,0,1,3,0.0,0.0,1.0,0.0
72481,0,160.0,7,0,0,1,2,0.0,0.0,0.0,1.0
195194,1,88.0,1,0,0,0,0,1.0,0.0,0.0,0.0
161633,0,90.0,5,0,0,0,3,1.0,0.0,0.0,0.0
121680,0,64.0,3,0,0,1,0,0.0,0.0,0.0,1.0
189061,0,387.0,7,0,0,1,0,0.0,1.0,0.0,0.0
28915,1,122.0,4,0,0,1,3,0.0,0.0,0.0,1.0
96249,0,345.0,4,0,0,1,3,0.0,0.0,1.0,0.0
76886,1,234.0,5,0,0,1,1,0.0,0.0,0.0,1.0
66641,0,204.0,1,0,0,1,3,0.0,0.0,1.0,0.0
129610,0,113.0,3,0,0,1,1,0.0,0.0,1.0,0.0
88697,0,139.0,1,0,0,1,1,0.0,0.0,1.0,0.0
33686,0,192.0,2,0,0,0,1,0.0,0.0,1.0,0.0
198880,1,219.0,5,0,0,1,2,0.0,0.0,0.0,1.0
45482,1,110.0,4,0,0,1,3,0.0,0.0,0.0,1.0
77317,1,135.0,1,0,0,1,1,0.0,1.0,0.0,0.0
15460,0,185.0,1,0,0,1,2,0.0,0.0,0.0,1.0
134371,0,239.0,8,0,0,0,2,0.0,0.0,0.0,1.0
66892,0,137.0,2,0,0,0,0,0.0,1.0,0.0,0.0
166336,0,119.0,1,0,0,1,1,0.0,0.0,1.0,0.0
181529,1,232.0,5,0,0,0,0,0.0,0.0,1.0,0.0
64364,0,313.0,5,0,0,1,2,0.0,1.0,0.0,0.0
114955,0,309.0,1,0,0,0,2,0.0,1.0,0.0,0.0
18742,0,109.0,1,0,0,0,2,1.0,0.0,0.0,0.0
132916,1,252.0,3,0,0,1,0,0.0,0.0,0.0,1.0
76511,0,342.0,3,0,0,1,1,0.0,1.0,0.0,0.0
184214,0,146.0,3,0,0,1,1,0.0,1.0,0.0,0.0
10786,0,86.0,10,1,12,1,1,1.0,0.0,0.0,0.0
114682,1,215.0,4,0,0,1,2,0.0,0.0,0.0,1.0
86656,0,302.0,7,0,0,1,1,0.0,0.0,0.0,1.0
90984,1,363.0,4,0,0,1,2,0.0,1.0,0.0,0.0
133819,0,322.0,2,0,0,1,1,0.0,0.0,0.0,1.0
110797,0,361.0,3,0,0,1,0,0.0,1.0,0.0,0.0
198020,1,111.0,1,0,0,0,0,1.0,0.0,0.0,0.0
39347,0,265.0,4,0,0,1,0,0.0,0.0,0.0,1.0
55947,1,234.0,1,0,0,0,1,0.0,1.0,0.0,0.0
81158,1,183.0,5,0,0,1,0,0.0,0.0,1.0,0.0
115423,0,97.0,1,0,0,1,1,0.0,0.0,0.0,1.0
137829,0,201.0,7,0,0,1,0,0.0,0.0,0.0,1.0
91575,0,64.0,3,0,0,1,1,1.0,0.0,0.0,0.0
187053,0,97.0,5,1,13,1,2,0.0,1.0,0.0,0.0
142391,1,86.0,3,0,0,1,1,1.0,0.0,0.0,0.0
56162,0,60.0,1,0,0,0,0,1.0,0.0,0.0,0.0
196011,1,165.0,2,0,0,1,1,0.0,1.0,0.0,0.0
179787,1,125.0,4,0,0,1,2,0.0,0.0,0.0,1.0
172787,0,141.0,7,0,0,1,3,0.0,0.0,0.0,1.0
57693,1,317.0,3,2,33,1,3,0.0,1.0,0.0,0.0
7227,0,192.0,9,0,0,1,1,0.0,0.0,0.0,1.0
33814,0,95.0,16,2,62,1,3,0.0,1.0,0.0,0.0
48247,0,98.0,1,0,0,0,0,1.0,0.0,0.0,0.0
185330,1,320.0,3,0,0,1,3,0.0,0.0,0.0,1.0
45652,0,128.0,1,0,0,0,1,0.0,0.0,1.0,0.0
112245,1,274.0,9,1,11,0,3,0.0,0.0,0.0,1.0
55269,0,99.0,2,0,0,1,1,0.0,0.0,0.0,1.0
